Body-arm angle,Elbow angle,Shot success
106.03,137.53,1
94.51,96.83,2
97.67,102.09,0
94.21,100.49,0
101.41,113.10,1
97.52,96.53,2
89.96,96.16,0
101.43,99.43,0
100.79,105.47,0
101.73,123.90,1
108.96,121.66,0
107.94,122.71,1
104.17,118.20,2
104.48,114.80,2
104.93,130.51,0
108.57,133.38,2
103.78,113.86,0
99.49,122.46,2
89.51,97.94,2
100.79,112.48,0
105.89,126.57,1
105.91,110.97,0
105.31,110.54,0
112.61,117.18,0
93.53,106.05,1
108.91,132.16,0
108.55,135.91,2
110.83,115.99,2
103.09,117.08,2
108.80,114.27,0
115.47,117.73,2
108.07,137.37,2
102.05,124.38,0
107.86,117.08,1
110.77,131.87,0
109.66,135.41,0
109.65,116.89,2
104.09,103.09,0
99.28,115.58,1
105.96,131.89,1
108.78,132.92,1
108.98,116.13,0
100.32,110.56,1
110.24,137.06,0
117.47,141.74,1
111.82,132.75,0
98.01,106.33,0
115.47,134.13,2
107.04,127.59,1
111.27,116.84,1
108.43,136.19,2
108.74,124.65,0
107.42,122.47,1
102.99,125.36,2
104.68,123.74,2
108.62,136.46,0
113.75,122.64,0
105.77,126.43,0
109.58,124.68,2
118.34,143.04,0
105.15,119.79,0
103.94,115.44,0
115.11,140.13,2
108.76,126.62,2
114.43,127.91,0
111.80,125.75,1
111.18,126.01,0
105.46,123.12,1
106.48,135.84,1
107.35,135.08,0
103.38,125.84,0
102.38,117.81,2
107.35,112.36,0
100.62,116.16,2
108.19,119.89,2
112.39,140.22,1
106.03,114.72,0
107.42,117.60,1
115.56,139.03,2
101.12,120.41,0
104.13,125.26,2
111.37,128.72,0
113.78,136.91,0
109.57,130.89,0
108.43,129.20,2
105.15,120.62,0
99.33,111.41,0
113.20,144.03,0
112.70,125.93,0
112.20,134.36,0
101.25,117.61,1
100.43,127.15,1
104.17,117.55,2
112.80,141.19,0
102.09,124.45,2
111.99,126.09,0
106.75,128.79,2
104.50,122.80,0
107.55,128.18,0
97.88,108.21,2
101.89,118.79,1
110.98,129.64,2
104.04,121.12,0
112.25,128.49,2
107.35,126.45,1
110.80,135.26,0
101.31,116.61,0
112.09,128.28,1
112.90,130.71,1
110.48,129.21,0
